species,location,habitat,id,bagging,rinsing,bagging.date,bagging.hour,collection.date,collection.hour,year,temp,hum,plant.no,flower.no,flower.age,flower.sex,sugar in micrograms/flower/24h,sugarmax in micrograms/flower/24h
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-23,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,1,23,m,m,16.08116423,20.053404
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-24,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,1,24,m,m,10.04244629,20.0726315
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-25,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,2,25,m,f,7.56006924,10.026702
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-26,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,2,26,m,m,1.796782136,2.499523594
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-27,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,3,27,m,m,10.44510857,12.54535297
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-28,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,3,28,m,m,8.514610698,10.0123815
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-29,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,4,29,m,m,11.31876156,15.030506
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-30,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,4,30,m,m,15.41320979,22.57205497
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-31,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,5,31,m,f,18.09304993,22.57205497
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-unbagged-32,unbagged,Y,NA,NA,28/07/2011,15:00,2011,24,59,5,32,m,m,14.358407,17.54915697
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-1,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,1,1,m,m,18.74200677,53.17687709
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-10,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,5,10,m,f,0,0
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-2,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,1,2,m,m,5.362523689,10.026702
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-3,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,2,3,m,m,1.795983566,2.499523594
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-4,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,2,4,m,m,12.26473906,27.64317191
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-5,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,3,5,m,f,0,0
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-6,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,3,6,m,f,0,0
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-7,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,4,7,m,f,NA,NA
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-8,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,4,8,m,f,0,0
Achillea millefolium,troopers hill,grassland-nature reserve,2011-Achillea millefolium-troopers hill-bag-9,bag,Y,13/07/2011,10:00,14/07/2011,10:30,2011,25,47,5,9,m,m,15.49608887,27.61418047
Aesculus hippocastanum,clifton-constitution hill,cemetery-park,2012-Aesculus hippocastanum-clifton-constitution hill-bag-23,bag,N,1/5/12,18:00,2/5/12,16:40,2012,18,56,1,23,m,m,388.7976841,388.7976841
Aesculus hippocastanum,clifton-constitution hill,cemetery-park,2012-Aesculus hippocastanum-clifton-constitution hill-bag-24,bag,N,1/5/12,18:00,2/5/12,16:40,2012,18,56,1,24,m,m,69.81728581,69.81728581
Aesculus hippocastanum,clifton-constitution hill,cemetery-park,2012-Aesculus hippocastanum-clifton-constitution hill-bag-25,bag,N,1/5/12,18:00,2/5/12,16:40,2012,18,56,1,25,y,m,85.77191582,85.77191582
Aesculus hippocastanum,clifton-constitution hill,cemetery-park,2012-Aesculus hippocastanum-clifton-constitution hill-bag-26,bag,N,1/5/12,18:00,2/5/12,16:40,2012,18,56,1,26,m,m,129.1786948,129.1786948
Aesculus hippocastanum,clifton-constitution hill,cemetery-park,2012-Aesculus hippocastanum-clifton-constitution hill-bag-27,bag,N,1/5/12,18:00,2/5/12,16:40,2012,18,56,1,27,m,m,510.5185396,510.5185396
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-12,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,1,12,m,m,945.3276989,945.3276989
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-13,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,1,13,m,m,560.0083151,560.0083151
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-14,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,1,14,y,m,252.6417801,252.6417801
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-15,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,1,15,o,h,206.767697,206.767697
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-16,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,1,16,m,h,293.5009382,293.5009382
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-17,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,2,17,y,m,130.5215308,130.5215308
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-18,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,2,18,m,h,253.2980342,253.2980342
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-19,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,2,19,o,h,51.38442773,51.38442773
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-20,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,2,20,m,h,329.5617,329.5617
Aesculus hippocastanum,clifton-suspension bridge park,grassland-park,2012-Aesculus hippocastanum-clifton-suspension bridge park-bag-21,bag,N,3/5/12,16:00,4/5/12,14:15,2012,10,68,2,21,y,m,439.06957,439.06957
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-1,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,1,m,m,140.718824,140.718824
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-10,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,10,m,m,1855.351402,1855.351402
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-2,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,2,m,m,530.0175115,530.0175115
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-3,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,3,m,m,122.372789,122.372789
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-4,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,4,o,m,984.2642126,984.2642126
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-5,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,5,m,m,287.1629777,287.1629777
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-6,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,6,o,m,739.704199,739.704199
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-7,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,7,m,m,443.5523731,443.5523731
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-8,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,8,m,m,913.6574973,913.6574973
Aesculus hippocastanum,woodland road-university,grassland,2012-Aesculus hippocastanum-woodland road-university-bag-9,bag,N,1/5/12,16:00,2/5/12,15:30,2012,15,71,1,9,m,m,568.9326209,568.9326209
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-1,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,1,1,m,f,0,0
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-10,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,5,10,m,h,22.73043913,25.211295
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-2,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,1,2,m,f,0,0
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-3,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,2,3,m,h,8.726113817,10.026702
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-4,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,2,4,m,f,0,0
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-5,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,3,5,o,f,0,0
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-6,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,3,6,o,f,0,0
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-7,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,4,7,m,h,16.83743197,20.130314
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-8,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,4,8,m,h,21.10217718,22.62983759
Aethusa cynapium,river frome,wetland,2011-Aethusa cynapium-river frome-bag-9,bag,Y,15/08/2011,10:00,16/08/2011,11:00,2011,22,70,5,9,m,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-1,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,1,1,m,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-10,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,5,10,m,h,6.042777966,7.498570781
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-2,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,1,2,m,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-3,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,2,3,m,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-4,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,2,4,m,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-5,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,3,5,m,h,12.58944297,15.011412
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-6,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,3,6,y,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-7,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,4,7,m,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-8,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,4,8,m,h,0,0
Agrimonia eupatoria,ashton court,grassland-nature reserve,2011-Agrimonia eupatoria-ashton court-bag-9,bag,Y,12/7/11,14:00,13/07/2011,16:30,2011,24,68,5,9,m,h,8.78666393,14.99714156
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-12,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,1,12,m,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-13,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,1,13,y,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-14,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,2,14,m,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-15,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,2,15,y,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-16,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,3,16,y,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-17,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,3,17,m,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-18,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,4,18,m,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-19,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,4,19,m,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-20,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,5,20,m,h,0,0
Agrimonia eupatoria,dolebury warren,grassland-nature reserve,2011-Agrimonia eupatoria-dolebury warren-bag-21,bag,Y,1/9/11,12:00,2/9/11,12:00,2011,23,66,5,21,m,h,0,0
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-1,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,1,1,m,h,270.9032263,270.9032263
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-10,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,5,10,m,h,106.948907,106.948907
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-2,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,1,2,m,h,95.99854232,95.99854232
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-3,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,2,3,m,h,86.6583389,86.6583389
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-4,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,2,4,m,h,241.1798625,241.1798625
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-5,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,3,5,m,h,112.1612792,112.1612792
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-6,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,3,6,m,h,245.1609487,245.1609487
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-7,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,4,7,o,h,64.93961122,64.93961122
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-8,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,4,8,m,h,127.3625051,127.3625051
Ajuga reptans,paradise bottom-leigh woods,grassland,2012-Ajuga reptans-paradise bottom-leigh woods-bag-9,bag,N,10/5/12,11:30,11/8/12,11:00,2012,17,45,5,9,m,h,199.2665908,199.2665908
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-12,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,1,12,m,h,600.1801499,600.1801499
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-13,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,1,13,m,h,93.73485716,93.73485716
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-14,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,2,14,y,h,243.1270726,243.1270726
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-15,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,2,15,o,h,41.16547351,41.16547351
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-16,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,3,16,m,h,168.5890702,168.5890702
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-17,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,3,17,y,h,108.6589008,108.6589008
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-18,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,4,18,m,h,171.389805,171.389805
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-19,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,4,19,m,h,394.3955428,394.3955428
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-20,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,5,20,m,h,164.036919,164.036919
Allium cepa,pill allotments1,allotments,2012-Allium cepa-pill allotments1-bag-21,bag,N,8/8/12,14:45,9/8/12,12:00,2012,24,64,5,21,m,h,56.62938173,56.62938173
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-1,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,1,1,m,h,213.4464374,213.4464374
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-10,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,5,10,o,h,42.85373154,42.85373154
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-2,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,1,2,m,h,166.5623038,166.5623038
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-3,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,2,3,o,h,3.709092406,3.709092406
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-4,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,2,4,m,h,194.7745811,194.7745811
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-5,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,3,5,m,h,1002.907483,1002.907483
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-6,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,3,6,y,h,201.7915583,201.7915583
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-7,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,4,7,m,h,197.7471504,197.7471504
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-8,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,4,8,y,h,69.22030333,69.22030333
Allium cepa,pill allotments2,allotments,2012-Allium cepa-pill allotments2-bag-9,bag,N,8/8/12,14:45,9/8/12,14:00,2012,24,63,5,9,y,h,0,0
Allium schoenoprasum,jane's new garden,pot,2012-Allium schoenoprasum-jane's new garden-bag-1,bag,N,26/06/2012,15:00,27/06/2012,15:00,2012,24,63,1,1,m,h,171.742802,171.742802
